model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CBM,12,reserve,2092,637.524,11.029
CBM,12,reserve,2093,640.783,11.086
CBM,12,reserve,2094,644.008,11.141
CBM,12,reserve,2095,647.2,11.197
CBM,12,reserve,2096,650.358,11.251
CBM,12,reserve,2097,653.484,11.305
CBM,12,reserve,2098,656.577,11.359
CBM,12,reserve,2099,659.638,11.412
CBM,12,reserve,2100,662.668,11.464
CBM,13,reserve,2025,590.06,6.255
CBM,13,reserve,2026,597.836,6.337
CBM,13,reserve,2027,605.569,6.419
CBM,13,reserve,2028,613.265,6.501
CBM,13,reserve,2029,620.928,6.582
CBM,13,reserve,2030,628.56,6.663
CBM,13,reserve,2031,636.151,6.743
CBM,13,reserve,2032,643.716,6.823
CBM,13,reserve,2033,651.263,6.903
CBM,13,reserve,2034,658.79,6.983
CBM,13,reserve,2035,666.284,7.063
CBM,13,reserve,2036,673.747,7.142
CBM,13,reserve,2037,681.175,7.22
CBM,13,reserve,2038,688.56,7.299
CBM,13,reserve,2039,695.895,7.376
CBM,13,reserve,2040,703.171,7.454
CBM,13,reserve,2041,710.398,7.53
CBM,13,reserve,2042,717.559,7.606
CBM,13,reserve,2043,724.647,7.681
CBM,13,reserve,2044,731.662,7.756
CBM,13,reserve,2045,738.598,7.829
CBM,13,reserve,2046,745.452,7.902
CBM,13,reserve,2047,752.229,7.974
CBM,13,reserve,2048,758.93,8.045
CBM,13,reserve,2049,765.554,8.115
CBM,13,reserve,2050,772.103,8.184
CBM,13,reserve,2051,778.574,8.253
CBM,13,reserve,2052,784.968,8.321
CBM,13,reserve,2053,791.287,8.388
CBM,13,reserve,2054,797.532,8.454
CBM,13,reserve,2055,803.703,8.519
CBM,13,reserve,2056,809.796,8.584
CBM,13,reserve,2057,815.818,8.648
CBM,13,reserve,2058,821.767,8.711
CBM,13,reserve,2059,827.645,8.773
CBM,13,reserve,2060,834.313,8.844
CBM,13,reserve,2061,840.92,8.914
CBM,13,reserve,2062,847.482,8.983
CBM,13,reserve,2063,853.982,9.052
CBM,13,reserve,2064,860.421,9.12
CBM,13,reserve,2065,866.803,9.188
CBM,13,reserve,2066,873.123,9.255
CBM,13,reserve,2067,879.385,9.321
