plot_id,plt_cn,eco
20327,92645252010661,49
20327,92318331010661,52
20328,68700960010661,49
20328,92313212010661,50
20328,66062311010661,50
20328,65934771010661,50
20328,92645277010661,49
20329,68652680010661,50
20330,66062397010661,50
20330,68776003010661,49
20330,65269723010661,51
20330,92645309010661,49
20331,66062513010661,50
20332,68701205010661,50
20332,68848621010661,50
20332,66062559010661,50
20332,92645350010661,49
20333,92280162010661,49
20334,92280230010661,49
20334,65880647010661,50
20335,65312968010661,50
20335,68701310010661,50
20335,65808069010661,50
20335,65197535010661,50
20336,68701349010661,50
20336,92230984010661,47
20336,92338954010661,51
20336,92313406010661,51
20337,68814128010661,49
20337,65775405010661,51
20337,68793115010661,50
20337,68836711010661,50
20338,68701501010661,50
20338,68843628010661,52
20339,68665257010661,50
20339,68814332010661,49
20340,68814525010661,49
20340,68701673010661,50
20340,65871542010661,50
20341,68755577010661,50
20342,65864059010661,52
20342,68755681010661,50
20342,68877677010661,51
20343,68755772010661,50
20343,68845081010661,51
20343,65163316010661,50
20344,68891698010661,50
20344,68655838010661,50
20344,65736811010661,50
20344,92634429010661,51
20344,68755905010661,50
20345,65768574010661,51
20346,65805012010661,48
20346,65736984010661,50
20347,65737076010661,50
20347,65570410010661,50
20347,68882410010661,50
20347,65170229010661,50
20347,65350641010661,49
20347,65768410010661,50
20348,65930512010661,50
20348,66013195010661,50
20348,65771075010661,51
20349,65737152010661,50
20349,65704125010661,50
20350,68858163010661,50
20350,65156594010661,52
20351,66062845010661,50
20351,68685742010661,51
20352,65845420010661,51
20352,65184200010661,49
20353,65861941010661,51
20353,68644223010661,50
20353,65772743010661,52
20353,92235007010661,50
20354,65771988010661,52
20354,65680808010661,50
20355,68883412010661,50
20355,64744917010661,49
20355,65247169010661,51
20355,66049199010661,51
20356,65963478010661,50
20356,92235142010661,50
20357,92629752010661,50
20358,68665373010661,50
20359,68664319010661,50
20359,64819333010661,50
20359,65204982010661,51
20359,92235344010661,50
20359,65987417010661,50
20360,92235468010661,50
20360,65724865010661,52
20361,65173577010661,50
20361,68796956010661,50
20361,65992304010661,52
20362,65865604010661,52
20362,92235696010661,50
20362,65240171010661,46
20363,92235779010661,50
20364,66058684010661,52
20364,92235896010661,50
20365,65751677010661,50
20365,92629802010661,50
20366,65147877010661,50
20366,65088439010661,49
20366,92235972010661,50
20367,92236096010661,50
20367,65751997010661,51
20368,65175846010661,50
20368,65207255010661,49
20369,68857280010661,50
20370,92236343010661,49
20370,65160678010661,47
20370,68664579010661,50
20371,65576438010661,50
20371,92318439010661,51
20371,92322623010661,50
20371,66009566010661,49
20371,65843537010661,50
20372,92322771010661,50
20373,64807233010661,50
